model,instrument,eff_dim,neg_mass
HUMAN,-,28.1,-
Aya,REPRESENT,57.7,-
Aya,JUDGE,26.1,0.41
Aya,ENACT,5.6,-
Gemma12,REPRESENT,50.2,-
Gemma12,JUDGE,33.8,0.33
Gemma12,ENACT,10.8,-
Gemma27,REPRESENT,59.9,-
Gemma27,JUDGE,32.0,0.36
Gemma27,ENACT,13.1,-
Llama8,REPRESENT,72.0,-
Llama8,JUDGE,26.3,0.2
Llama8,ENACT,11.7,-
Qwen7,REPRESENT,33.8,-
Qwen7,JUDGE,41.1,0.22
Qwen7,ENACT,5.4,-
gemma3,REPRESENT,52.0,-
gemma3,JUDGE,36.1,0.35
gemma3,ENACT,10.1,-
llama3.2,REPRESENT,70.7,-
llama3.2,JUDGE,56.3,0.1
llama3.2,ENACT,10.1,-
phi4,REPRESENT,63.2,-
phi4,JUDGE,14.0,0.35
phi4,ENACT,5.2,-
qwen2.5,REPRESENT,42.1,-
qwen2.5,JUDGE,23.4,0.29
qwen2.5,ENACT,4.8,-
